datetime,CACHE_YOLO,COLUMB_TRNR,DIVERSION_AG,DUT_FAL_FISH,EXPORT_CCF,EXPORT_CVP,EXPORT_IF,EXPORT_SWP,MIDR_MOUTH,OLDR_HEAD,OLDR_MOUTH,PAST_CHIPPS,PAST_MTZ,SAC_TO_3MI,SAC_TO_DCC,SAC_TO_GEO,SAC_TO_STM,SAC_TO_SUT,STMBT_N_TO_S,TO_NBA,TO_SUISUN
20Apr2017  0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  0100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  0200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  0300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  0400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  0500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  0600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  0800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  0900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20Apr2017  2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Apr2017  0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Apr2017  0100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Apr2017  0200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Apr2017  0300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Apr2017  0400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Apr2017  0500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Apr2017  0600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
21Apr2017  0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
21Apr2017  0800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
21Apr2017  0900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0
21Apr2017  1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,0,0
21Apr2017  1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,2,0,0
21Apr2017  1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,3,0,0
21Apr2017  1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,4,0,0
21Apr2017  1400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,5,0,0
21Apr2017  1500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,0,0
21Apr2017  1600,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,6,0,0
21Apr2017  1700,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,7,0,0
21Apr2017  1800,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,7,0,0
21Apr2017  1900,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,8,0,0
21Apr2017  2000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,9,0,0
21Apr2017  2100,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,9,0,0
21Apr2017  2200,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,8,10,0,0
21Apr2017  2300,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,8,9,10,0,0
22Apr2017  0000,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,9,10,11,0,0
22Apr2017  0100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,9,10,11,0,0
22Apr2017  0200,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,9,11,12,0,0
22Apr2017  0300,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,10,11,12,0,0
22Apr2017  0400,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,11,12,13,0,0
22Apr2017  0500,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,11,12,14,0,0
22Apr2017  0600,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,11,13,15,0,0
22Apr2017  0700,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,12,13,15,0,0
22Apr2017  0800,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,13,14,16,0,0
22Apr2017  0900,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,13,14,17,0,0
22Apr2017  1000,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,13,15,17,0,0
22Apr2017  1100,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,14,15,18,0,0
22Apr2017  1200,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,15,15,19,0,0
22Apr2017  1300,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,15,16,20,0,0
22Apr2017  1400,3,0,0,0,0,0,0,0,0,0,1,0,0,3,0,10,16,17,20,0,0
22Apr2017  1500,4,0,0,0,0,0,0,0,0,0,1,0,0,3,0,11,16,17,21,0,0
22Apr2017  1600,5,0,0,0,0,0,0,0,0,0,1,0,0,2,0,11,17,17,22,0,0
22Apr2017  1700,5,0,0,0,0,0,0,0,0,0,1,0,0,2,0,11,17,18,22,0,0
22Apr2017  1800,6,0,0,0,0,0,0,0,0,0,1,2,0,1,0,12,18,18,23,0,0
22Apr2017  1900,7,0,0,0,0,0,0,0,0,0,1,4,0,1,0,12,18,19,24,0,0
22Apr2017  2000,7,0,0,0,0,0,0,0,0,0,1,5,0,1,0,12,18,19,24,0,0
22Apr2017  2100,7,0,0,0,0,0,0,0,0,0,1,5,0,1,0,13,19,19,25,0,0
22Apr2017  2200,7,0,0,0,0,0,0,0,0,0,1,4,0,1,0,13,19,20,25,0,0
22Apr2017  2300,7,0,0,0,0,0,0,0,0,0,1,3,0,2,0,14,20,21,26,0,0
23Apr2017  0000,6,0,0,0,0,0,0,0,0,0,1,1,0,3,0,14,20,21,27,0,0
23Apr2017  0100,4,0,0,0,0,0,0,0,0,0,1,0,0,4,0,15,21,21,27,0,0
23Apr2017  0200,2,0,0,0,0,0,0,0,0,0,1,0,0,4,0,15,21,22,28,0,0
23Apr2017  0300,2,0,0,0,0,0,0,0,0,0,1,1,0,5,0,15,21,22,29,0,0
23Apr2017  0400,4,0,0,0,0,0,0,0,0,0,1,1,0,4,0,16,22,23,29,0,0
23Apr2017  0500,6,0,0,0,0,0,0,0,0,0,1,5,0,4,0,16,22,23,30,0,0
23Apr2017  0600,6,0,0,0,0,0,0,0,0,0,1,8,0,4,0,16,22,23,30,0,0
23Apr2017  0700,7,0,0,0,0,0,0,0,0,0,1,11,0,3,0,17,22,23,31,0,0
23Apr2017  0800,8,0,0,0,0,0,0,0,0,0,1,15,0,3,0,17,22,23,31,0,0
23Apr2017  0900,9,0,0,0,0,0,0,0,0,0,1,18,0,3,0,17,22,23,31,0,0
23Apr2017  1000,9,0,0,0,0,0,0,0,0,0,1,17,0,3,0,17,22,23,31,0,0
23Apr2017  1100,9,0,0,0,0,0,0,0,0,0,1,15,0,3,0,17,22,23,31,0,0
23Apr2017  1200,8,0,0,1,0,0,0,0,0,0,1,12,0,4,0,17,22,23,31,0,0
23Apr2017  1300,7,0,0,1,0,0,0,0,0,0,1,10,0,4,0,17,22,23,31,0,0
23Apr2017  1400,6,0,0,1,0,0,0,0,0,0,1,9,0,5,0,17,22,23,31,0,0
23Apr2017  1500,6,0,0,1,0,0,0,0,0,0,2,11,0,5,0,17,22,23,31,0,0
23Apr2017  1600,7,0,0,0,0,0,0,0,0,0,2,14,0,5,0,17,22,23,31,0,0
23Apr2017  1700,8,0,0,0,0,0,0,0,0,0,2,20,0,4,0,17,22,23,31,0,0
23Apr2017  1800,8,0,0,0,0,0,0,0,0,0,2,28,0,4,0,17,22,23,31,0,0
23Apr2017  1900,8,0,0,0,0,0,0,0,0,0,2,33,0,3,0,17,22,23,31,0,0
23Apr2017  2000,9,0,0,0,0,0,0,0,0,0,2,37,0,3,0,17,22,23,31,0,1
23Apr2017  2100,9,0,0,0,0,0,0,0,0,0,2,40,0,3,0,17,22,23,31,0,1
23Apr2017  2200,9,0,0,0,0,0,0,0,0,0,2,39,0,3,0,17,22,23,31,0,1
23Apr2017  2300,9,0,0,0,0,0,0,0,0,0,2,35,0,3,0,17,22,23,31,0,1
24Apr2017  0000,8,0,0,1,0,0,0,0,0,0,2,30,0,4,0,17,22,23,31,0,1
24Apr2017  0100,8,0,0,1,0,0,0,0,0,0,2,24,0,4,0,17,22,23,31,0,1
24Apr2017  0200,8,0,0,1,0,0,0,0,0,0,2,21,0,4,0,17,22,23,31,0,0
24Apr2017  0300,8,0,0,1,0,0,0,0,0,0,2,21,0,4,0,17,22,23,31,0,0
24Apr2017  0400,8,0,0,1,0,0,0,0,0,0,2,25,0,4,0,17,22,23,31,0,0
24Apr2017  0500,8,0,0,1,0,0,0,0,0,0,2,32,0,4,0,17,22,23,31,0,0
24Apr2017  0600,8,0,0,0,0,0,0,0,0,0,2,39,0,4,0,17,22,23,31,0,1
24Apr2017  0700,9,0,0,0,0,0,0,0,0,0,2,46,1,4,0,17,22,23,31,0,1
24Apr2017  0800,9,0,0,0,0,0,0,0,0,0,2,51,1,4,0,17,22,23,31,0,1
24Apr2017  0900,9,0,0,-1,0,0,0,0,0,0,2,55,1,3,0,17,22,23,31,0,1
24Apr2017  1000,10,0,0,-1,0,0,0,0,0,0,2,57,1,3,0,17,22,23,31,0,1
24Apr2017  1100,10,0,0,0,0,0,0,0,0,0,2,56,1,3,0,17,22,23,31,0,1
24Apr2017  1200,10,0,0,0,0,0,0,0,0,0,2,53,1,3,0,17,22,23,31,0,1
24Apr2017  1300,9,0,0,1,0,0,0,0,0,0,2,49,1,3,0,17,22,23,31,0,1
24Apr2017  1400,9,0,0,1,0,0,0,0,0,0,2,46,1,3,0,17,22,23,31,0,1
24Apr2017  1500,9,0,0,1,0,0,0,0,0,0,2,45,1,3,0,17,22,23,31,0,1
24Apr2017  1600,9,0,0,1,0,0,0,0,0,0,2,47,1,3,0,17,22,23,31,0,1
24Apr2017  1700,9,0,0,1,0,0,0,0,0,0,2,52,1,3,0,17,22,23,31,0,1
24Apr2017  1800,9,0,0,0,0,0,0,0,0,0,2,58,2,3,0,17,22,23,31,0,1
24Apr2017  1900,9,0,0,0,0,0,0,0,0,0,2,63,4,3,0,17,22,23,31,0,1
24Apr2017  2000,9,0,0,0,0,0,0,0,0,0,2,67,5,3,0,17,22,23,31,0,1
24Apr2017  2100,10,0,0,-1,0,0,0,0,0,0,2,69,6,3,0,17,22,23,31,0,1
24Apr2017  2200,10,0,0,-1,0,0,0,0,0,0,2,69,6,2,0,17,22,23,31,0,1
24Apr2017  2300,10,0,0,0,0,0,0,0,0,0,2,68,6,2,0,17,22,23,31,0,1
25Apr2017  0000,10,0,0,0,0,0,0,0,0,0,2,64,6,3,0,17,22,23,31,0,1
25Apr2017  0100,9,0,0,1,0,0,0,0,0,0,2,59,6,3,0,17,22,23,31,0,1
25Apr2017  0200,9,0,0,1,0,0,0,0,0,0,2,55,6,3,0,17,22,23,31,0,1
25Apr2017  0300,9,0,0,2,0,0,0,0,0,0,2,54,6,3,0,17,22,23,31,0,1
25Apr2017  0400,9,0,0,2,0,0,0,0,0,0,2,56,6,3,0,17,22,23,31,0,1
25Apr2017  0500,9,0,0,1,0,0,0,0,0,0,2,60,6,3,0,17,22,23,31,0,1
25Apr2017  0600,9,0,0,1,0,0,0,0,0,0,2,66,7,3,0,17,22,23,31,0,1
25Apr2017  0700,10,0,0,0,0,0,0,0,0,0,2,69,10,3,0,17,22,23,31,0,1
25Apr2017  0800,10,0,0,0,0,0,0,0,0,0,2,71,14,3,0,17,22,23,31,0,1
25Apr2017  0900,10,0,0,0,0,0,0,0,0,0,2,72,16,2,0,17,22,23,31,0,1
25Apr2017  1000,10,0,0,-1,0,0,0,0,0,0,2,73,17,2,0,17,22,23,31,0,1
25Apr2017  1100,10,0,0,-1,0,0,0,0,0,0,2,73,17,2,0,17,22,23,31,0,1
25Apr2017  1200,10,0,0,0,0,0,0,0,0,0,2,73,17,2,0,17,22,23,31,0,1
25Apr2017  1300,10,0,0,0,0,0,0,0,0,0,2,72,17,2,0,17,22,23,31,0,1
25Apr2017  1400,10,0,0,0,0,0,0,0,0,0,2,71,17,2,0,17,22,23,31,0,1
25Apr2017  1500,10,0,0,1,0,0,0,0,0,0,2,70,17,2,0,17,22,23,31,0,1
25Apr2017  1600,10,0,0,1,0,0,0,0,0,0,2,70,17,2,0,17,22,23,31,0,1
25Apr2017  1700,10,0,0,1,0,0,0,0,0,0,2,71,17,2,0,17,22,23,31,0,1
25Apr2017  1800,10,0,0,1,0,0,0,0,0,0,2,72,18,2,0,17,22,23,31,0,1
25Apr2017  1900,10,0,0,0,0,0,0,0,0,0,2,73,21,2,0,17,22,23,31,0,1
25Apr2017  2000,10,0,0,0,0,0,0,0,0,0,2,74,24,2,0,17,22,23,31,0,1
25Apr2017  2100,10,0,0,-1,0,0,0,0,0,0,2,75,25,2,0,17,22,23,31,0,1
25Apr2017  2200,10,0,0,-1,0,0,0,0,0,0,2,76,25,2,0,17,22,23,31,0,1
25Apr2017  2300,10,0,0,0,0,0,0,0,0,0,2,76,25,2,0,17,22,23,31,0,1
26Apr2017  0000,10,0,0,0,0,0,0,0,0,0,2,75,25,2,0,17,22,23,31,0,1
26Apr2017  0100,10,0,0,0,0,0,0,0,0,0,2,73,25,2,0,17,22,23,31,0,1
26Apr2017  0200,10,0,0,1,0,0,0,0,0,0,2,72,25,2,0,17,22,23,31,0,1
26Apr2017  0300,10,0,0,1,0,0,0,0,0,0,2,71,25,2,0,17,22,23,31,0,1
26Apr2017  0400,10,0,0,1,0,0,0,0,0,0,2,71,25,2,0,17,22,23,31,0,1
26Apr2017  0500,10,0,0,1,0,0,0,0,0,0,2,72,25,2,0,17,22,23,31,0,1
26Apr2017  0600,10,0,0,0,0,0,0,0,0,0,2,73,26,2,0,17,22,23,31,0,1
26Apr2017  0700,10,0,0,0,0,0,0,0,0,0,2,75,31,2,0,17,22,23,31,0,1
26Apr2017  0800,10,0,0,0,0,0,0,0,0,0,2,77,36,2,0,17,22,23,31,0,1
26Apr2017  0900,11,0,0,-1,0,0,0,0,0,0,2,78,41,2,0,17,22,23,31,0,1
26Apr2017  1000,11,0,0,-1,0,0,0,0,0,0,2,79,43,2,0,17,22,23,31,0,1
26Apr2017  1100,11,0,0,-1,0,0,0,0,0,0,2,79,44,2,0,17,22,23,31,0,1
26Apr2017  1200,11,0,0,-1,0,0,0,0,0,0,2,79,44,2,0,17,22,23,31,0,1
26Apr2017  1300,11,0,0,-1,0,0,0,0,0,0,2,79,44,2,0,17,22,23,31,0,1
26Apr2017  1400,11,0,0,-1,0,0,0,0,0,0,2,78,44,2,0,17,22,23,31,0,1
26Apr2017  1500,11,0,0,-1,0,0,0,0,0,0,3,77,44,2,0,17,22,23,31,0,1
26Apr2017  1600,11,0,0,-1,0,0,0,0,0,0,3,77,44,2,0,17,22,23,31,0,1
26Apr2017  1700,11,0,0,-1,0,0,0,0,0,0,3,77,44,2,0,17,22,23,31,0,1
26Apr2017  1800,11,0,0,-1,0,0,0,0,0,0,3,78,44,2,0,17,22,23,31,0,1
26Apr2017  1900,11,0,0,-1,0,0,0,0,0,0,3,78,44,2,0,17,22,23,31,0,1
26Apr2017  2000,11,0,0,-1,0,0,0,0,0,0,3,79,46,2,0,17,22,23,31,0,1
26Apr2017  2100,11,0,0,-1,0,0,0,0,0,0,3,81,49,2,0,17,22,23,31,0,1
26Apr2017  2200,11,0,0,-1,0,0,0,0,0,0,3,81,50,2,0,17,22,23,31,0,1
26Apr2017  2300,11,0,0,-1,0,0,0,0,0,0,3,82,50,2,0,17,22,23,31,0,1
27Apr2017  0000,11,0,0,-1,0,0,0,0,0,0,3,81,50,2,0,17,22,23,31,0,1
27Apr2017  0100,11,0,0,-1,0,0,0,0,0,0,3,80,50,2,0,17,22,23,31,0,1
27Apr2017  0200,11,0,0,-1,0,0,0,0,0,0,3,79,50,2,0,17,22,23,31,0,1
27Apr2017  0300,11,0,0,-1,0,0,0,0,0,0,3,78,50,2,0,17,22,23,31,0,1
27Apr2017  0400,11,0,0,0,0,0,0,0,0,0,3,77,50,2,0,17,22,23,31,0,1
27Apr2017  0500,11,0,0,0,0,0,0,0,0,0,3,78,50,2,0,17,22,23,31,0,1
27Apr2017  0600,11,0,0,-1,0,0,0,0,0,0,3,79,50,2,0,17,22,23,31,0,1
27Apr2017  0700,11,0,0,-1,0,0,0,0,0,0,3,80,51,2,0,17,22,23,31,0,1
27Apr2017  0800,11,0,0,-1,0,0,0,0,0,0,3,81,55,2,0,17,22,23,31,0,1
27Apr2017  0900,11,0,0,-1,0,0,0,0,0,0,3,82,60,2,0,17,22,23,31,0,1
27Apr2017  1000,12,0,0,-1,0,0,0,0,0,0,3,83,63,2,0,17,22,23,31,0,1
27Apr2017  1100,12,0,0,-1,0,0,0,0,0,0,3,84,64,2,0,17,22,23,31,0,1
27Apr2017  1200,12,0,0,-1,0,0,0,0,0,0,3,85,64,2,0,17,22,23,31,0,1
27Apr2017  1300,12,0,0,-1,0,0,0,0,0,0,3,85,64,2,0,17,22,23,31,0,1
27Apr2017  1400,12,0,0,-1,0,0,0,0,0,0,3,84,64,2,0,17,22,23,31,0,1
27Apr2017  1500,12,0,0,-1,0,0,0,0,0,0,3,83,64,2,0,17,22,23,31,0,1
27Apr2017  1600,11,0,0,-1,0,0,0,0,0,0,3,83,64,2,0,17,22,23,31,0,1
27Apr2017  1700,11,0,0,-1,0,0,0,0,0,0,3,82,64,2,0,17,22,23,31,0,1
27Apr2017  1800,11,0,0,-1,0,0,0,0,0,0,3,82,64,2,0,17,22,23,31,0,1
27Apr2017  1900,11,0,0,-1,0,0,0,0,0,0,3,83,64,2,0,17,22,23,31,0,1
27Apr2017  2000,11,0,0,-1,0,0,0,0,0,0,3,84,64,2,0,17,22,23,31,0,1
27Apr2017  2100,12,0,0,-1,0,0,0,0,0,0,3,85,64,2,0,17,22,23,31,0,1
27Apr2017  2200,12,0,0,-1,0,0,0,0,0,0,3,85,65,2,0,17,22,23,31,0,1
27Apr2017  2300,12,0,0,-1,0,0,0,0,0,0,3,86,65,2,0,17,22,23,31,0,1
28Apr2017  0000,12,0,0,-1,0,0,0,0,0,0,3,86,65,2,0,17,22,23,31,0,1
28Apr2017  0100,12,0,0,-1,0,0,0,0,0,0,3,85,65,2,0,17,22,23,31,0,1
28Apr2017  0200,12,0,0,-1,0,0,0,0,0,0,3,84,65,2,0,17,22,23,31,0,1
28Apr2017  0300,12,0,0,-1,0,0,0,0,0,0,3,84,65,2,0,17,22,23,31,0,1
28Apr2017  0400,12,0,0,-1,0,0,0,0,0,0,3,83,65,2,0,17,22,23,31,0,1
28Apr2017  0500,12,0,0,-1,0,0,0,0,0,0,3,83,65,2,0,17,22,23,31,0,1
28Apr2017  0600,12,0,0,-1,0,0,0,0,0,0,3,83,65,2,0,17,22,23,31,0,1
28Apr2017  0700,12,0,0,-1,0,0,0,0,0,0,3,84,66,2,0,17,22,23,31,0,1
28Apr2017  0800,12,0,0,-1,0,0,0,0,0,0,3,85,67,2,0,17,22,23,31,0,1
28Apr2017  0900,12,0,0,-1,0,0,0,0,0,0,3,86,69,2,0,17,22,23,31,0,1
28Apr2017  1000,12,0,0,-1,0,0,0,0,0,0,3,87,72,2,0,17,22,23,31,0,1
28Apr2017  1100,12,0,0,-1,0,0,0,0,0,0,3,88,74,2,0,17,22,23,31,0,1
28Apr2017  1200,12,0,0,-2,0,0,0,0,0,0,3,89,75,2,0,17,22,23,31,0,1
28Apr2017  1300,12,0,0,-2,0,0,0,0,0,0,3,89,75,2,0,17,22,23,31,0,1
28Apr2017  1400,12,0,0,-2,0,0,0,0,0,0,3,89,75,2,0,17,22,23,31,0,1
28Apr2017  1500,12,0,0,-2,0,0,0,0,0,0,3,89,75,2,0,17,22,23,31,0,1
28Apr2017  1600,12,0,0,-2,0,0,0,0,0,0,3,88,75,2,0,17,22,23,31,0,1
28Apr2017  1700,12,0,0,-1,0,0,0,0,0,0,3,88,75,2,0,17,22,23,31,0,1
28Apr2017  1800,12,0,0,-1,0,0,0,0,0,0,3,87,75,2,0,17,22,23,31,0,1
28Apr2017  1900,12,0,0,-1,0,0,0,0,0,0,3,87,75,2,0,17,22,23,31,0,1
28Apr2017  2000,12,0,0,-1,0,0,0,0,0,0,3,88,75,2,0,17,22,23,31,0,1
28Apr2017  2100,12,0,0,-1,0,0,0,0,0,0,3,88,75,2,0,17,22,23,31,0,1
28Apr2017  2200,12,0,0,-1,0,0,0,0,0,0,3,89,75,2,0,17,22,23,31,0,1
28Apr2017  2300,12,0,0,-2,0,0,0,0,0,0,3,89,75,2,0,17,22,23,31,0,1
29Apr2017  0000,12,0,0,-2,0,0,0,0,0,0,3,89,76,2,0,17,22,23,31,0,1
29Apr2017  0100,12,0,0,-2,0,0,0,0,0,0,3,89,76,2,0,17,22,23,31,0,1
29Apr2017  0200,12,0,0,-1,0,0,0,0,0,0,3,89,76,2,0,17,22,23,31,0,1
29Apr2017  0300,12,0,0,-1,0,0,0,0,0,0,3,88,76,2,0,17,22,23,31,0,1
29Apr2017  0400,12,0,0,-1,0,0,0,0,0,0,3,88,76,2,0,17,22,23,31,0,1
