ID,datetime,ORHRB,ORHRB_FALL
1,01Oct1986  0000,0.00000,0.00000
2,10Sep1987  1200,0.00000,1.00000
3,26Nov1987  0800,0.00000,0.00000
4,22Sep1988  0900,0.00000,1.00000
5,02Dec1988  1200,0.00000,0.00000
6,29Sep1989  1200,0.00000,1.00000
7,28Nov1989  1800,0.00000,0.00000
8,01Jan1990  0001,0.00000,0.00000
9,11Sep1990  1200,0.00000,1.00000
10,27Nov1990  1200,0.00000,0.00000
11,12Sep1991  1700,0.00000,1.00000
12,23Nov1991  1200,0.00000,0.00000
13,22Apr1992  1200,1.00000,0.00000
14,05Jun1992  1200,0.00000,0.00000
15,10Sep1992  1200,0.00000,1.00000
16,03Dec1992  1200,0.00000,0.00000
17,10Nov1993  1200,0.00000,1.00000
18,06Dec1993  1200,0.00000,0.00000
19,23Apr1994  1000,1.00000,0.00000
20,18May1994  1200,0.00000,0.00000
21,07Sep1994  1200,0.00000,1.00000
22,29Nov1994  1000,0.00000,0.00000
23,07May1996  1100,0.00000,0.00000
24,16May1996  1600,0.00000,0.00000
25,03Oct1996  0800,0.00000,1.00000
26,20Nov1996  0900,0.00000,0.00000
27,10Apr1997  1200,1.00000,0.00000
28,15May1997  1200,0.00000,0.00000
29,01Jan2000  0001,0.00000,0.00000
30,15Apr2000  1200,1.00000,0.00000
31,31May2000  1500,0.00000,0.00000
32,03Oct2000  0800,0.00000,1.00000
33,08Dec2000  1200,0.00000,0.00000
34,25Apr2001  1200,1.00000,0.00000
35,30May2001  1200,0.00000,0.00000
36,06Oct2001  1500,0.00000,1.00000
37,25Nov2001  1500,0.00000,0.00000
38,15Apr2002  1700,1.00000,0.00000
39,24May2002  1000,0.00000,0.00000
40,04Oct2002  0800,0.00000,1.00000
41,21Nov2002  1200,0.00000,0.00000
42,15Apr2003  1800,1.00000,0.00000
43,16May2003  1200,0.00000,0.00000
44,22Sep2003  1200,0.00000,1.00000
45,05Nov2003  1200,0.00000,0.00000
46,12Apr2004  1730,1.00000,0.00000
47,21May2004  1200,0.00000,0.00000
48,20Sep2004  1200,0.00000,1.00000
49,02Nov2004  1100,0.00000,0.00000
50,28Sep2005  1500,0.00000,1.00000
51,07Nov2005  1800,0.00000,0.00000
52,20Apr2007  1400,1.00000,0.00000
53,22May2007  1500,0.00000,0.00000
54,17Oct2007  1000,,1.00000
55,09Nov2007  0800,,0.00000
56,16Oct2008  0800,,1.00000
57,03Nov2008  1200,,0.00000
58,01Apr2012  1030,1.00000,0.00000
59,04Jun2012  1800,0.00000,
60,08Apr2014  1030,1.00000,
61,09Jun2014  1145,0.00000,
62,01Oct2014  0800,,1.00000
63,10Nov2014  1200,,0.00000
64,03Apr2015  1000,1.00000,
65,01Jun2015  0830,0.00000,
66,14Sep2015  1400,,1.00000
67,12Nov2015  1000,,0.00000
68,13Mar2016  1700,1.00000,
69,01Jun2016  1100,0.00000,
70,26Sep2016  1230,,1.00000
71,10Nov2016  0800,0.00000,0.00000
72,12Oct2017  0800,0.00000,1.00000
73,13Nov2017  0945,,0.00000
74,02Jan2018  0000,0.00000,